θ,ω,θ_next,ω_next
-0.7201353300793213,0.7952854674761115,-0.7121824754045601,0.8599810840873796
-0.7259833598681105,0.8635315409067877,-0.7173480444590425,0.9286573023122582
-0.7209961242670081,0.9254386222151442,-0.7117417380448566,0.9901976927292175
-0.7001098205113986,0.9956876159910456,-0.6901529443514881,1.0588936106727773
-0.6878597344754441,1.0693198519512457,-0.6771665359559317,1.1316020757801684
-0.6856498099923863,1.130312055932849,-0.6743466894330579,1.1924266316510816
-0.6775561524360206,1.1743036657921142,-0.6658131157780995,1.2358016610237328
-0.6481424645706628,1.2460304739995594,-0.6356821598306672,1.3052540923078455
-0.642377354516321,1.3131223572496924,-0.6292461309438241,1.3718941278677013
-0.633124639461682,1.376367679055253,-0.6193609626711294,1.4344101796231026
-0.6211873192467756,1.4270128676050968,-0.6069171905707247,1.484107173976493
-0.6094675428739829,1.4875030472172341,-0.5945925124018105,1.5436585235580285
-0.5936484634586171,1.5210781359475063,-0.578437682099142,1.575954193900068
-0.5824028784962122,1.5704432679179914,-0.5666984458170323,1.6244014336908952
-0.5798619018976957,1.6062508396742923,-0.5637993935009528,1.660000655446928
-0.582030163056028,1.6645237546487215,-0.5653849255095408,1.7184513810050324
-0.5669740616343035,1.7302308536022077,-0.5496717530982814,1.782918601887621
-0.5511028109216034,1.7742920522075838,-0.5333598903995276,1.8256598691725074
-0.5384796607294056,1.828648057519135,-0.5201931801542142,1.8789568168555242
-0.5245479881876415,1.8780883276794589,-0.5057671049108469,1.9272189479116002
-0.5260907057850144,1.9408185057559149,-0.5066825207274552,1.9900800603860083
-0.4972862907801779,1.992003889870661,-0.4773662518814713,2.0388017367874003
-0.4723449004271216,2.0311599466895918,-0.45203330096022565,2.075793060624164
-0.4372258209600726,2.0593762812758265,-0.41663205814731435,2.1009145569077523
-0.41502595506152257,2.091209701281635,-0.39411385804870624,2.130764963500571
-0.38531257928825224,2.1097211827215268,-0.364215367461037,2.1465919516093925
-0.37941320035108855,2.1504981288504035,-0.3579082190625845,2.186831962016141
-0.36468745352205717,2.190720726536725,-0.3427802462566899,2.225708809624389
-0.34127349673992247,2.2176268574961053,-0.3190972281649614,2.250459693043548
-0.3200778716301345,2.240831910022189,-0.2976695525299126,2.2716981409308294
-0.30806265588385495,2.2620411876559228,-0.28544224400729573,2.291786389555199
-0.2821919356464138,2.2906712499724877,-0.25928522314668895,2.3179883284850513
-0.2621873505420008,2.3189210968664793,-0.23899813957333602,2.3443480055904673
-0.2286421031941323,2.3380009395979235,-0.20526209379815308,2.3602358122920823
-0.21924001051982872,2.373647484976025,-0.19550353567006848,2.3949830468215985
-0.19088112306066038,2.4074027508699793,-0.16680709555196058,2.4260146839154184
-0.17376258865429023,2.4011100157225167,-0.14975148849706507,2.4180704749678514
-0.14799310319033973,2.420748065479953,-0.12378562253554021,2.435213251018686
-0.13209026530589874,2.4412835444873418,-0.10767742986102533,2.4542039506988287
-0.09984762526839172,2.4515053521625854,-0.07533257174676586,2.4612841369383744
-0.0640817406964707,2.473575702197447,-0.039345983674496224,2.4798578193452796
-0.03390214926608196,2.4934699901284425,-0.008967449364797535,2.4967951539200164
-0.010097297636447363,2.4772436531611435,0.01467513889516407,2.4782341812274615
0.017454669855083354,2.4739524025564834,0.042194193880648184,2.4722401863889893
0.04358399200765023,2.468927479409352,0.06827326680174375,2.4646532432911172
0.0637488260510992,2.46993046035156,0.0884481306546148,2.4636809354444678
0.1030367317717873,2.47019984452336,0.1277387302170209,2.460109816852404
0.14150949099478893,2.4528696849328946,0.1660381878441179,2.439033888796934
0.16052762754873698,2.443203921812867,0.18495966676686565,2.427523708778516
0.19433786009237586,2.4316926380200248,0.2186547864725761,2.412747869961279
0.2186429493214001,2.3972945635126015,0.24261589495652613,2.3760161751403555
0.24816582497097103,2.3609671094094296,0.27177549606506535,2.3368711606363735
0.2754997911461286,2.3316180727757385,0.298815971873886,2.3049321343521387
0.2914894423468737,2.288581586999324,0.3143752582168669,2.2603896917564557
0.31385467283752566,2.2557988473418353,0.336412661310944,2.2255126996687546
0.34143206529580683,2.2359079381701177,0.363791144677508,2.2030604445625523
0.34040353134857576,2.2140847329144697,0.36254437867772044,2.181332331552952
0.3629110827437094,2.1847354960525367,0.3847584377042348,2.149910269764826
